"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"423",720,720,"G-Bay","IMRP","2024-09-10T19:37:33Z",90,35,-79.862951,44.864115,c(589828.462820252, 4968484.29291705),423,0.0602589092766052,0.0602589092766052,1.18771873446819,1.18771873446819
"424",721,721,"G-Bay","IMRP","2024-09-10T19:37:41Z",100,40,-79.862986,44.8641050000001,c(589825.713321723, 4968483.14335542),424,0.0593235410707135,0.0593235410707135,1.19397887351385,1.19397887351385
"425",722,722,"G-Bay","IMRP","2024-09-10T19:39:13Z",80,40,-79.862748,44.8643020000001,c(589844.209219605, 4968505.29033876),425,0.0628270479551861,0.0628270479551861,1.19457845786241,1.19457845786241
"426",723,723,"G-Bay","IMRP","2024-09-10T19:39:24Z",90,50,-79.862714,44.864383,c(589846.769252651, 4968514.32582395),426,0.062813821176391,0.062813821176391,1.15413281810253,1.15413281810253
"427",724,724,"G-Bay","IMRP","2024-09-10T19:39:37Z",80,80,-79.862648,44.8644330000001,c(589851.905537808, 4968519.95308584),427,0.065236801968529,0.065236801968529,1.13141730399104,1.13141730399104
"428",725,725,"G-Bay","IMRP","2024-09-10T19:40:45Z",90,90,-79.862375,44.8646010000001,c(589873.211390316, 4968538.91742213),428,0.0861041756590182,0.0861041756590182,1.08913994425922,1.08913994425922
"429",726,726,"G-Bay","IMRP","2024-09-10T19:41:14Z",NA,NA,-79.8622829999999,44.8646610000001,c(589880.386088804, 4968545.68432984),429,0.0951385430125538,0.0951385430125538,1.05891006415073,1.05891006415073
"430",727,727,"G-Bay","IMRP","2024-09-11T14:43:19Z",0,90,-79.879195,44.843737,c(588576.3989007, 4966202.77124999),430,0.0204520237012201,0.0204520237012201,2.42629522765864,2.42629522765864
"431",728,728,"G-Bay","IMRP","2024-09-11T14:43:34Z",0,90,-79.8791649999999,44.84378,c(588578.703879599, 4966207.58058981),431,0.0187839408615948,0.0187839408615948,2.03788234690651,2.03788234690651
"432",729,729,"G-Bay","IMRP","2024-09-11T14:43:40Z",0,80,-79.879156,44.8438120000001,c(588579.366099884, 4966211.14510443),432,0.0186118002144732,0.0186118002144732,2.05397438024442,2.05397438024442
"433",730,730,"G-Bay","IMRP","2024-09-11T14:43:47Z",0,75,-79.879147,44.84385,c(588580.019123662, 4966215.37612569),433,0.0185420004816487,0.0185420004816487,2.05350054931268,2.05350054931268
"434",731,731,"G-Bay","IMRP","2024-09-11T14:43:52Z",0,70,-79.8791409999999,44.843891,c(588580.430461201, 4966219.93712925),434,0.0187626893341641,0.0187626893341641,2.06478474297468,2.06478474297468
"435",732,732,"G-Bay","IMRP","2024-09-11T14:43:58Z",0,80,-79.879135,44.843934,c(588580.838732748, 4966224.72030173),435,0.0190174923254042,0.0190174923254042,2.06492831458156,2.06492831458156
"436",733,733,"G-Bay","IMRP","2024-09-11T14:44:03Z",0,100,-79.879138,44.8439770000001,c(588580.535742445, 4966229.49366098),436,0.0199902475422403,0.0199902475422403,2.45417191326465,2.45417191326465
"437",734,734,"G-Bay","IMRP","2024-09-11T14:44:19Z",0,90,-79.8791229999999,44.8441070000001,c(588581.521932721, 4966243.95099218),437,0.0210110351803778,0.0210110351803778,2.44354769093604,2.44354769093604
"438",735,735,"G-Bay","IMRP","2024-09-11T14:45:22Z",0,60,-79.87902,44.8443580000001,c(588589.277169969, 4966271.94549855),438,0.0156071734542905,0.0156071734542905,2.43902522464574,2.43902522464574
"439",736,736,"G-Bay","IMRP","2024-09-11T14:45:27Z",0,70,-79.879021,44.8443760000001,c(588589.170551056, 4966273.94392789),439,0.0158005339104779,0.0158005339104779,2.43940540087609,2.43940540087609
"440",737,737,"G-Bay","IMRP","2024-09-11T14:45:33Z",0,75,-79.879021,44.844407,c(588589.123034194, 4966277.38754536),440,0.0160003590096156,0.0160003590096156,2.43980225540535,2.43980225540535
"441",738,738,"G-Bay","IMRP","2024-09-11T14:45:38Z",0,75,-79.879026,44.8444410000001,c(588588.675777015, 4966281.15896379),441,0.0166658285887116,0.0166658285887116,2.44055245954181,2.44055245954181
"442",739,739,"G-Bay","IMRP","2024-09-11T14:45:45Z",0,80,-79.879025,44.8444870000001,c(588588.684296661, 4966286.26993832),442,0.0170073488257956,0.0170073488257956,2.21813843540947,2.21813843540947
